t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Third Impact,131,5,17,2,GGPR,112,3,3,2,1,0,2,0
Triumph,73,14,8,0,ATK,99,4,1,0,0,2,0,1
Party Astronauts,49,18,9,0,Coldest Riders,82,9,10,0,0,16,5,1
AURA,79,6,2,0,ENCE,18,11,9,0,0,1,2,0
Bad News Bears,40,11,7,13,Party Astronauts,49,18,8,4,2,16,7,1
Endpoint,26,16,6,7,SAW,52,11,9,8,1,2,0,1
Extra Salt,27,10,1,2,Coldest Riders,82,9,9,0,0,16,5,1
Sangal,84,5,5,2,Akuma,45,10,8,0,0,2,1,1
BLINK,61,7,4,0,Enterprise,81,5,7,0,0,2,0,1
Apeks,54,14,14,0,Sprout,38,10,11,0,0,0,2,0
Finest,93,7,5,0,NAVI Junior,95,10,9,0,0,2,0,1
fnatic,22,4,5,0,Sinners,20,12,6,0,0,1,2,0
Eternal Fire,89,6,4,0,Movistar Riders,50,13,8,0,0,0,2,0
TTC,139,1,1,0,Nemiga,46,9,7,0,0,2,1,1
AGO,24,20,11,0,00Nation,43,2,2,0,0,2,0,1
mouz NXT,36,17,6,0,D13,186,1,4,0,0,2,0,1
Galaxy Racer,57,10,9,0,hREDS,164,3,5,0,0,1,2,0
VERTEX,98,6,1,0,lol123,111,6,1,1,0,0,2,0
SKADE,21,29,15,7,Apeks,54,14,13,1,3,2,0,1
AVE,91,7,5,0,LDLC,33,13,12,0,0,1,2,0
Lyngby Vikings,44,14,10,0,Entropiq,19,14,11,4,0,2,0,1
Kanga,204,4,5,0,LookingForOrg,96,1,0,1,0,0,2,0
Dignitas,32,9,3,4,Galaxy Racer,57,10,8,0,0,2,1,1
domilk,253,1,3,0,Ground Zero,188,5,8,0,0,0,2,0
Renegades,23,6,3,0,Alke,205,4,5,0,0,2,0,1
ORDER,100,6,1,4,Rooster,161,7,6,0,1,2,0,1
BLINK,61,6,4,0,Oilers,152,3,4,0,0,2,0,1
Paradox,0,8,5,0,Bandits,232,2,5,0,0,0,1,0
RBG,58,16,10,0,GODSENT,71,2,3,3,0,11,16,0
paiN,47,5,2,1,GODSENT,71,2,2,2,0,16,14,1
Third Impact,131,5,16,2,RBG,58,15,10,10,0,11,16,0
GODSENT,71,1,2,2,RBG,58,15,9,0,0,16,2,1
paiN,47,4,2,5,Third Impact,131,5,15,0,0,16,8,1
Unique,62,0,1,2,AGF,257,0,5,1,0,2,1,1
Babos,0,0,0,0,Vision,0,0,0,0,0,2,0,1
forZe,14,15,5,1,NAVI Junior,95,10,8,0,0,2,0,1
Sprout,38,10,10,4,Sangal,84,4,5,3,1,0,2,0
Marten,215,1,2,0,1shot,109,1,1,0,0,1,2,0
Infinite,79,7,5,0,Eternal Fire,101,5,4,0,0,1,2,0
Entropiq,18,14,10,10,Nemiga,46,8,7,5,2,1,2,0
LDLC,34,13,11,0,00Nation,45,1,2,0,0,0,2,0
DBL PONEY,30,18,10,2,777,54,9,9,0,0,2,0,1
cowana,77,2,2,0,AaB,112,7,4,0,0,2,0,1
Kanga,206,3,5,1,Warriors,208,4,6,2,1,2,0,1
AGO,23,19,11,0,AVE,93,7,4,0,0,2,0,1
Lyngby Vikings,39,14,9,0,TTC,296,0,1,0,0,0,2,0
CAMO,222,2,2,0,Ground Zero,202,4,8,0,0,1,2,0
Spirit Academy,78,11,9,0,South,103,4,3,0,0,2,1,1
Copenhagen Flames,27,24,12,0,KOVA,107,7,10,0,0,2,0,1
Bravos,50,33,11,6,9z,74,24,3,3,2,1,2,0
Bad News Bears,59,10,7,11,Party Astronauts,58,18,7,2,2,3,2,1
ATK,106,3,1,0,Nemesis,0,0,0,0,0,2,0,1
Imperial,203,5,4,1,Jaguares,197,8,5,0,0,2,0,1
9z,74,23,3,5,Havan Liberty,73,20,5,10,2,2,1,1
ONET4P,122,1,1,0,Triumph,70,13,8,0,0,0,2,0
Trasko,72,12,3,3,EC Kyiv,139,5,10,3,0,2,1,1
Party Astronauts,58,17,7,15,RBG,68,15,8,3,0,2,1,1
Cruzeiro,173,7,5,1,Jaguares,197,7,5,4,0,4,16,0
MAXIMA,285,2,2,0,Imperial,203,4,4,0,0,5,16,0
Bravos,50,32,11,16,Paquetá,65,26,11,18,7,2,1,1
Vitality,9,10,3,16,Natus Vincere,1,17,3,13,3,2,3,0
Third Impact,119,5,14,0,Coldest Riders,128,8,9,0,0,1,2,0
Sinners,19,12,5,2,Fiend,32,15,10,1,1,1,2,0
RBG,68,14,8,0,NA's Finest,0,3,1,0,0,2,0,1
Meta4Pro,230,0,2,0,BLUEJAYS,105,2,2,0,0,1,2,0
benched,0,1,0,0,AVE,93,6,4,0,0,0,2,0
Nemiga,46,8,6,8,Spirit,12,12,10,9,1,0,2,0
Nexus,80,12,8,2,Fiend,32,14,10,0,1,0,2,0
Spirit,12,11,10,0,BEBRA,0,1,0,0,0,2,0,1
NKT,97,9,0,0,CatEvil,190,4,2,0,0,2,0,1
eSuba,146,1,1,0,Copenhagen Flames,27,23,12,0,0,0,2,0
BEBRA,0,0,0,0,PeakyBlinders,0,0,0,0,0,2,1,1
Spirit Academy,78,11,8,0,Nemiga,46,7,6,0,0,0,2,0
lol123,117,5,1,8,Rooster,168,7,5,2,5,2,1,1
Sinners,19,11,5,0,BLUEJAYS,105,2,1,0,0,2,0,1
Spirit,12,10,10,0,Storm Wolves,0,0,0,0,0,2,0,1
Lynn Vision,170,6,7,5,NKT,97,8,0,3,1,8,16,0
Nemiga,46,6,6,5,Unique,48,0,0,2,0,2,1,1
CatEvil,190,3,2,2,Newhappy,275,1,2,1,0,16,5,1
SG.pro,0,0,0,0,Spirit Academy,78,10,8,0,0,0,2,0
lol123,117,4,1,0,MIRACLE RUN,242,1,1,0,0,16,10,1
Ground Zero,202,4,7,1,Rooster,168,6,5,2,0,7,16,0
NA's Finest,0,2,1,2,Coldest Riders,128,8,8,1,0,2,1,1
RBG,68,13,8,8,Third Impact,119,5,13,2,0,2,0,1
DETONA,145,7,10,0,Rehl,274,0,6,0,0,16,13,1
Cruzeiro,173,5,5,0,Ceará,152,5,5,0,0,16,6,1
Meta BR,142,3,2,0,Black Dragons,195,2,7,0,0,16,7,1
Jaguares,197,5,5,0,Stone,257,2,7,0,0,16,13,1
Imperial,203,2,4,0,Leviatan,140,16,8,0,0,16,9,1
Cruzeiro,173,5,5,0,DETONA,145,7,10,0,0,16,10,1
Redragon,167,4,5,0,PR Stars,154,3,5,0,0,16,9,1
MAXIMA,285,0,2,0,Redragon,167,4,5,0,0,16,13,1
MAXIMA,285,0,2,0,Furious,175,10,15,0,0,16,7,1
SWS,113,13,10,0,ozbonz,207,1,2,0,0,8,16,0
Meta BR,142,3,2,0,Jaguares,197,5,5,0,0,9,16,0
Leviatan,140,16,8,0,Paquetá,65,25,11,0,0,6,16,0
Third Impact,119,4,13,0,Levitate,0,3,3,0,0,2,1,1
Imperial,203,2,4,0,ozbonz,207,1,2,1,0,16,10,1
Bad News Bears,59,9,7,9,Party Astronauts,58,17,6,2,2,2,0,1
9z,74,22,3,13,River Plate,149,14,7,3,1,16,13,1
Coldest Riders,128,7,8,0,Infinity Gauntlet,0,2,1,0,0,2,0,1
AVE,93,5,4,0,2EASY,279,0,0,0,0,16,13,1
EC Kyiv,139,4,10,0,Devercy,0,0,0,0,0,16,12,1
Havan Liberty,73,19,5,12,Paquetá,65,25,10,7,3,16,14,1
Trasko,72,11,3,0,MayBe,0,0,1,0,0,16,6,1
The Incas,143,0,1,0,benched,0,0,0,0,0,9,16,0
Natus Vincere,1,16,3,6,Heroic,7,8,2,2,1,2,1,1
BLUEJAYS,105,1,1,2,Eternal Fire,101,5,3,2,0,16,13,1
Party Astronauts,58,16,6,3,NA's Finest,0,2,0,3,0,2,1,1
Mad Kings,241,3,3,0,River Plate,149,13,7,0,0,4,16,0
Freedom Fighters,0,1,1,0,Levitate,0,2,3,0,0,0,2,0
Infinity Gauntlet,0,1,1,0,YeniCherry,0,2,1,0,0,2,0,1
Bravos,50,31,11,5,9z,74,22,2,3,1,22,20,1
Fiend,32,13,10,0,Eternal Fire,101,5,2,0,0,16,13,1
Third Impact,119,3,13,2,Detonate,0,2,1,1,0,2,1,1
Big Chillin,124,3,3,0,Coldest Riders,128,6,8,0,0,0,2,0
Entropiq Prague,127,2,2,0,BLUEJAYS,105,0,1,0,0,6,16,0
Davenport University,0,1,0,0,YeniCherry,0,1,1,0,0,1,2,0
Bad News Bears,59,8,7,10,RBG,68,13,7,1,1,2,1,1
Bad News Bears,59,8,7,10,RBG,68,13,7,1,1,2,1,1
Eternal Fire,101,4,2,1,BLUEJAYS,105,0,0,2,0,16,12,1
Coldest Riders,128,5,8,0,Touch Point,0,1,1,0,0,2,1,1
TBC,0,1,1,1,Newhappy,275,0,2,0,0,6,16,0
Detonate,0,1,1,0,727,0,1,1,0,0,2,0,1
Levitate,0,1,3,0,X13,153,4,7,0,0,2,0,1
Entropiq Prague,127,2,1,0,Fiend,32,12,10,0,0,9,16,0
OG,10,7,2,4,Vitality,9,9,3,8,3,0,2,0
NKT,97,7,0,0,DEADiNSIDE,0,0,0,0,0,16,7,1
Born in the East,0,0,0,0,CatEvil,190,2,2,0,0,5,16,0
Lynn Vision,170,5,7,0,ARAVT,0,0,1,0,0,16,9,1
Havan Liberty,73,18,5,1,Leviatan,140,16,7,0,0,2,0,1
Eros,102,2,4,0,Davenport University,0,0,0,0,0,1,2,0
RBG,68,12,7,3,Infinity Gauntlet,0,1,0,0,0,2,1,1
Levitate,0,0,3,0,Revel,0,0,1,0,0,2,0,1
Coldest Riders,128,4,8,0,All Gas No Brakes,0,0,0,0,0,2,0,1
727,0,0,1,0,Just Swing,0,0,0,0,0,2,0,1
Party Astronauts,58,15,6,0,Freedom Fighters,0,1,0,0,0,2,0,1
Third Impact,119,3,12,0,NA's Finest,0,1,0,0,0,0,2,0
X13,153,3,7,0,bait 4 it,0,0,0,0,0,2,0,1
Detonate,0,0,1,0,Cyberstorm,0,0,0,0,0,2,0,1
Touch Point,0,0,1,0,CLG Red,0,0,0,0,0,2,0,1
Bad News Bears,59,7,7,0,Big Chillin,124,3,2,0,0,2,0,1
Infinity,180,4,2,0,Leviatan,140,15,7,0,0,13,16,0
YeniCherry,0,0,1,0,Uncharted Territory,0,0,0,0,0,2,0,1
9z,74,21,2,12,River Plate,149,13,6,3,1,16,5,1
Havan Liberty,73,17,5,0,SWS,113,13,9,0,0,16,11,1
Leviatan,140,14,7,0,INTZ,126,11,13,0,0,16,10,1
Eros,102,2,3,0,Freedom Fighters,0,0,0,0,0,1,2,0
Big Chillin,124,2,2,2,Detonate,0,0,0,1,1,2,1,1
Bravos,50,30,11,0,Mad Kings,241,3,2,0,0,16,6,1
SAW,44,10,9,0,AaB,112,7,3,0,0,2,0,1
Heroic,7,7,2,0,Liquid,13,6,3,2,0,2,1,1
Coldest Riders,128,4,7,0,NA's Finest,0,0,0,0,0,1,2,0
Infinity Gauntlet,0,0,0,0,Levitate,238,0,2,0,0,2,1,1
Party Astronauts,58,14,6,0,YeniCherry,0,0,0,0,0,2,0,1
Bad News Bears,59,6,7,0,727,0,0,0,0,0,2,0,1
NOM,150,2,1,0,Nexus,80,11,8,0,0,5,16,0
Singularity,69,1,1,0,Websterz,0,1,0,0,0,2,0,1
OPAA,194,3,2,0,HAVU,35,10,9,0,0,2,1,1
Paquetá,65,24,10,0,Infinity,180,4,1,0,0,16,5,1
RBG,68,11,7,3,X13,153,3,6,0,0,2,0,1
DBL PONEY,30,17,10,2,Enterprise,89,5,6,0,0,2,0,1
Third Impact,119,2,12,0,Touch Point,0,0,0,0,0,2,0,1
Sinners,19,10,5,0,Nexus,80,11,7,0,0,16,2,1
Havan Liberty,73,16,5,0,Leviatan,140,14,6,0,0,16,3,1
South,103,4,2,0,AaB,112,6,3,0,0,17,19,0
SAW,44,9,9,0,MASONIC,160,4,5,0,0,16,9,1
NOM,150,1,1,0,Budapest Five,85,3,4,0,0,19,16,1
INDE IRAE,91,7,4,0,EC Kyiv,139,4,9,0,0,2,1,1
Nexus,80,10,7,0,Budapest Five,85,3,3,2,0,16,6,1
Sinners,19,9,5,0,NOM,150,1,0,0,0,16,9,1
Natus Vincere,1,15,3,0,ENCE,20,11,8,0,0,2,0,1
NASR,171,3,4,0,HAVU,35,9,9,0,0,12,16,0
INDINDA,0,2,0,0,Checkmate,132,6,6,0,0,0,2,0
Caught off Guard,0,2,7,0,8Ballers,263,2,4,0,0,0,2,0
INDINDA,0,1,0,0,TBC,0,1,0,0,0,19,16,1
Checkmate,132,5,6,2,Lynn Vision,170,5,6,1,1,16,7,1
Ground Zero,202,4,6,0,8Ballers,263,1,4,0,0,11,16,0
lol123,117,4,0,0,Caught off Guard,0,1,7,0,0,11,16,0
DETONA,145,7,9,0,Leviatan,140,13,6,0,0,24,28,0
Meta BR,142,3,1,0,INTZ,126,10,13,0,0,11,16,0
Redragon,167,4,4,0,Meta BR,142,2,1,0,0,6,16,0
SWS,113,12,9,0,Imperial,203,2,3,0,0,16,8,1
Havan Liberty,73,15,5,4,PR Stars,154,3,4,1,1,16,9,1
Santos,204,5,8,0,DETONA,145,6,9,1,0,12,16,0
Imperial,203,1,3,0,Jaguares,197,5,4,0,0,16,12,1
INTZ,126,9,13,0,ozbonz,207,1,1,0,0,16,9,1
Rehl,274,0,5,0,Havan Liberty,73,14,5,1,0,7,16,0
Furious,175,10,14,1,Leviatan,140,12,6,4,0,6,16,0
Black Dragons,195,2,6,0,SWS,113,11,9,1,0,15,19,0
GORILLAZ,118,6,6,0,OPAA,194,2,2,0,0,10,16,0
PR Stars,154,2,4,0,Ceará,152,5,4,1,0,16,10,1
AaB,112,5,3,0,MIXALA,0,0,0,0,0,25,23,1
Finest,84,7,4,0,HAVU,35,8,9,0,0,19,22,0
Lyngby Vikings,39,14,8,1,OPAA,194,1,2,0,0,15,19,0
OFFSET,108,4,7,0,NASR,171,2,4,0,0,18,22,0
MAD Lions,51,18,2,0,FunPlus Phoenix,29,5,4,0,0,2,0,1
MASONIC,160,3,5,0,Infinite,79,7,4,0,0,16,14,1
Websterz,0,0,0,0,QUAZAR,0,0,1,0,0,16,4,1
Singularity,69,0,1,0,AVE,93,5,3,0,0,16,3,1
EC Kyiv,139,3,9,0,VRTX,0,0,0,0,0,16,5,1
INDE IRAE,91,6,4,0,MayBe,0,0,0,0,0,16,11,1
SAW,44,8,9,2,AGF,158,0,4,0,0,16,11,1
Wisla Krakow,61,11,9,0,GORILLAZ,118,5,6,0,0,10,16,0
Nexus,80,10,6,0,South,103,3,2,0,0,8,16,0
mYinsanity,0,0,0,0,Arctic,0,0,0,0,0,1,2,0
EC Brugge,174,2,6,2,EC Genk,166,1,0,0,0,2,1,1
Gambit,2,10,4,0,Vitality,9,8,3,2,0,0,2,0
Young Ninjas,43,24,17,0,SAW Youngsters,184,2,2,0,0,2,0,1
DBL PONEY,30,17,9,0,FunPlus Phoenix,29,4,4,0,0,1,2,0
Apeks,55,13,13,0,Tricked,114,4,6,0,0,2,0,1
OG,10,6,2,3,NIP,8,7,4,5,2,2,1,1
TBC,0,0,0,0,Newhappy,275,0,1,0,0,16,14,1
MAD Lions,51,17,2,1,Sprout,42,10,9,4,0,2,0,1
Bco,0,0,0,0,INDINDA,0,0,0,0,0,6,16,0
Lynn Vision,170,4,6,0,Renewal,88,5,3,2,0,16,11,1
AaB,112,5,2,0,GORILLAZ,118,4,6,0,0,1,2,0
Checkmate,132,4,6,0,ARAVT,0,0,0,0,0,16,9,1
Strife,116,1,0,0,ATK,106,3,0,0,0,2,0,1
Third Impact,119,2,11,2,GGPR,134,2,3,0,0,0,2,0
RBG,68,10,7,2,ChocoCheck,235,1,1,1,1,2,0,1
777,54,8,9,3,Apeks,55,13,12,4,0,2,1,1
Sprout,42,9,9,0,Coalesce,121,4,4,0,0,16,13,1
XGC,278,0,1,0,Copenhagen Flames,27,22,12,0,0,0,2,0
Liquid,13,5,3,2,fnatic,31,4,4,0,0,2,0,1
Coalesce,121,3,4,0,PACT,67,11,11,0,0,16,10,1
SKADE,22,29,14,0,Virtus.pro,5,8,7,0,0,0,2,0
DBL PONEY,30,16,9,3,Sprout,42,9,8,1,0,19,17,1
NAVI Junior,94,9,8,0,eSuba,146,1,0,0,0,2,1,1
Sprout,42,8,8,4,PACT,67,11,10,1,1,16,3,1
AaB,112,4,2,2,MASONIC,160,3,4,0,0,2,0,1
Virtus.pro,5,7,7,1,FaZe,4,10,4,2,0,2,1,1
DBL PONEY,30,15,9,0,Coalesce,121,3,3,0,0,16,12,1
forZe,15,15,4,0,ENCE,20,10,8,0,0,0,2,0
Trasko,72,10,3,0,Marten,215,1,1,0,0,2,0,1
Spirit,12,10,9,1,SKADE,22,28,14,0,0,1,2,0
lol123,117,3,0,2,Caught off Guard,264,1,6,0,0,2,1,1
VERTEX,95,5,1,2,Alke,199,4,4,0,0,2,0,1
Bandits,216,2,4,0,Ground Zero,202,3,6,2,0,9,16,0
Rooster,168,5,5,2,Kanga,206,3,4,0,0,2,0,1
8Ballers,263,1,3,0,Warriors,208,3,6,0,0,9,16,0
Exsto,244,1,2,0,Caught off Guard,264,1,5,0,0,16,10,1
LookingForOrg,90,1,0,0,FURY,232,3,7,0,0,1,0,1
ChocoCheck,235,0,1,0,Third Impact,119,2,10,0,0,16,4,1
ATK,106,2,0,0,Party Astronauts,58,14,5,0,0,19,16,1
9z,74,20,2,10,River Plate,149,13,5,3,1,2,0,1
GGPR,134,1,3,0,Eros,102,2,2,0,0,2,0,1
Strife,116,0,0,2,Mythic,92,3,3,1,0,16,6,1
Extra Salt,25,9,1,0,Coldest Riders,128,4,6,0,0,2,0,1
X13,153,3,5,0,RBG,68,9,7,2,0,5,16,0
Illuminar,138,2,3,1,FunPlus Phoenix,29,3,4,0,0,11,16,0
Complexity,17,8,5,4,Vitality,9,7,3,7,1,1,2,0
Apeks,55,13,11,2,BLINK,62,5,4,2,0,1,2,0
GamerLegion,38,14,11,2,AGO,23,18,11,2,2,1,2,0
SAW Youngsters,184,1,2,0,Oilers,135,3,3,0,0,2,0,1
FunPlus Phoenix,29,2,4,0,Into the Breach,120,2,1,0,0,16,1,1
Akuma,41,10,7,0,Sprout,42,7,8,0,0,0,2,0
Endpoint,26,15,6,3,Anonymo,64,4,2,3,0,2,0,1
Illuminar,138,2,2,0,MAD Lions,51,16,2,0,0,5,16,0
FaZe,4,9,4,2,Dignitas,36,9,2,1,0,2,1,1
MAD Lions,51,15,2,2,Into the Breach,120,2,0,0,0,19,16,1
mousesports,14,5,5,6,NIP,8,6,4,8,1,1,2,0
Lyngby Vikings,39,13,8,0,Tricked,114,4,5,0,0,2,0,1
FunPlus Phoenix,29,2,3,0,Illuminar,138,1,2,0,0,14,16,0
Virtus.pro,5,6,7,0,Copenhagen Flames,27,22,11,0,0,2,0,1
BIG,11,6,6,1,SKADE,22,27,14,2,1,0,2,0
ORDER,99,5,1,0,Warriors,208,3,5,0,0,2,1,1
Ground Zero,202,2,6,0,Bandits,216,2,3,0,0,2,0,1
Renegades,21,5,3,0,Lese,237,1,3,0,0,2,0,1
Spirit,12,9,9,0,AGO,23,18,10,0,0,2,1,1
River Plate,149,12,5,4,Coscu Army,179,9,9,1,1,2,1,1
9z,74,19,2,7,Furious,175,10,13,5,1,2,0,1
GORILLAZ,118,3,6,0,X Gamer,212,3,3,0,0,2,1,1
Fiend,29,11,10,6,SKADE,22,27,13,7,1,2,0,1
Young Ninjas,41,24,16,12,KOVA,108,6,10,6,2,1,2,0
Galaxy Racer,69,10,7,0,Dignitas,57,8,2,2,0,0,2,0
Endpoint,27,15,5,3,AGO,23,17,10,8,2,0,2,0
SKADE,22,26,13,2,GamerLegion,47,14,10,0,0,2,1,1
lol123,121,2,0,0,CAMO,214,2,1,0,0,16,7,1
Paradox,113,7,5,2,Kanga,198,3,3,0,0,16,12,1
VERTEX,106,4,1,0,Dynasty,222,2,3,0,0,16,9,1
1WIN,36,15,8,0,Copenhagen Flames,30,21,11,4,0,0,2,0
lol123,121,1,0,0,Silent Insanity,0,1,0,0,0,2,0,1
Mythic,90,2,3,1,ONET4P,103,1,0,2,1,2,1,1
paiN,42,3,2,2,Mythic,90,2,2,0,0,2,1,1
SWS,148,10,9,0,Jaguares,205,5,3,0,0,2,0,1
Third Impact,135,1,10,0,Brazen,242,0,1,0,0,2,1,1
Redragon,193,4,3,0,Jaguares,205,4,3,0,0,10,16,0
Ceará,277,5,3,0,SWS,148,9,9,0,0,11,16,0
FURIA,15,6,5,22,Liquid,16,4,3,17,6,1,2,0
AURA,144,5,2,0,LDLC,31,13,10,0,0,2,0,1
Typ as nice,0,1,1,0,KappaB,254,1,1,0,0,2,1,1
Pugbots,0,2,0,0,RUST,0,2,0,0,0,0,2,0
Dignitas,57,7,2,1,Copenhagen Flames,30,21,10,2,0,2,1,1
Gambit,2,10,3,4,NIP,9,5,4,1,0,0,2,0
Entropiq,18,13,10,2,TeamOne,44,0,10,0,0,2,0,1
Endpoint,27,15,5,3,Anonymo,60,4,2,3,0,1,0,1
Endpoint,27,14,5,0,AVEZ,127,4,4,0,0,2,0,1
BLINK,49,5,3,2,forZe,13,14,4,4,2,0,2,0
RUST,0,1,0,0,KappaB,254,1,0,0,0,2,0,1
Typ as nice,0,1,0,0,Pugbots,0,1,0,0,0,0,2,0
Sinners,20,8,5,2,Akuma,33,10,6,0,0,2,0,1
K23,25,11,8,8,SKADE,22,26,12,4,2,2,1,1
Copenhagen Flames,30,20,10,2,HAVU,35,8,8,2,0,2,0,1
KappaB,254,0,0,0,BIICEPS,0,0,0,0,0,2,1,1
X Gamer,266,3,2,0,RUST,0,0,0,0,0,1,2,0
Pugbots,0,0,0,0,Lilmix,190,2,5,0,0,2,1,1
Typ as nice,0,0,0,0,9INE,275,0,2,0,0,2,1,1
PACT,74,11,9,0,Akuma,33,9,6,0,0,1,2,0
1shot,0,0,1,0,Meta4Pro,195,0,1,0,0,2,0,1
Silent Insanity,0,0,0,0,Ground Zero,176,2,5,0,0,16,10,1
Dignitas,57,6,2,0,00Nation,43,1,1,0,0,2,1,1
Sinners,20,7,5,0,South,134,3,1,0,0,2,0,1
lol123,121,0,0,2,duncans & dragons,0,0,0,0,0,16,3,1
Paradox,0,8,5,0,domilk,251,1,3,0,0,0,1,0
Rooster,187,4,5,0,MIRACLE RUN,0,1,0,0,0,2,0,1
Paquetá,65,24,9,6,Havan Liberty,75,13,5,10,3,1,2,0
Imperial,229,1,2,0,Redragon,193,3,3,0,0,11,16,0
Leviatan,159,12,5,0,Jaguares,205,3,3,0,0,4,16,0
Ceará,277,4,3,0,Keyd,175,3,6,0,0,16,6,1
Redragon,193,2,3,1,FURIA Academy,152,5,14,0,0,16,12,1
Santos,185,5,7,0,Leviatan,159,11,5,0,0,15,19,0
Jaguares,205,2,3,0,MIBR Academy,0,0,0,0,0,16,12,1
SWS,148,8,9,0,Malvinas,215,4,6,0,0,16,3,1
LDLC,31,12,10,0,Infinite,87,7,3,0,0,16,14,1
Bravos,48,29,11,3,Sharks,61,11,7,6,2,2,1,1
Ceará,277,3,3,0,Furious,162,10,12,0,0,16,3,1
Keyd,175,2,6,1,PR Stars,119,2,3,2,0,16,13,1
SWS,148,7,9,0,Boca Juniors,196,6,5,0,0,16,9,1
Stone,243,2,6,0,Imperial,229,0,2,0,0,1,16,0
Malvinas,215,4,6,0,Meta BR,0,2,1,0,0,1,0,1
Izako Boars,62,10,4,0,AURA,144,4,2,0,0,16,19,0
Endpoint,27,13,5,0,OPAA,209,1,1,0,0,16,10,1
Wisla Krakow,63,11,8,0,Infinite,87,6,3,0,0,14,16,0
AVEZ,127,3,4,0,hREDS,173,3,4,0,0,16,3,1
DUSTY,239,0,3,0,VALLEA,0,0,0,0,0,2,0,1
Coalesce,234,2,3,0,ROYALS,0,1,0,0,0,2,1,1
NIP,9,5,3,0,FURIA,15,5,5,2,0,1,2,0
AURA,144,3,2,0,Finest,83,7,3,0,0,16,14,1
hREDS,173,2,4,0,GORILLAZ,101,3,5,0,0,16,14,1
Oilers,105,3,2,0,OPAA,209,0,1,0,0,2,16,0
LDLC,31,11,10,6,cowana,70,2,1,2,0,16,14,1
AVEZ,127,2,4,0,ONYX,78,5,5,0,0,16,9,1
Izako Boars,62,9,4,0,ANDIBUL CARROT,0,0,0,0,0,19,17,1
Endpoint,27,12,5,0,AGF,146,0,3,0,0,16,7,1
4glory,217,4,4,3,AIRLYA,96,6,3,5,1,2,1,1
AlNasser,0,0,0,0,AlHilal,320,0,0,0,0,1,2,0
SAW,40,8,8,2,PACT,74,10,9,0,1,1,2,0
Akuma,33,8,6,0,Unicorns of Love,0,1,0,0,0,2,0,1
Sinners,20,6,5,0,Save's,141,3,2,0,0,2,0,1
South,134,2,1,0,HEADSH0T,0,1,0,0,0,2,0,1
LastWind,285,0,3,0,ROYALS,0,0,0,0,0,1,2,0
okura,140,2,4,0,Unicorns of Love,0,0,0,0,0,12,16,0
AVE,114,4,3,0,Feenix,192,1,2,0,0,2,0,1
Gambit,2,9,3,6,Entropiq,18,13,9,1,1,2,0,1
MIRACLE RUN,0,0,0,0,stinky big,0,0,0,0,0,16,11,1
meww,0,0,0,0,Coalesce,234,1,3,0,0,0,2,0
SKADE,22,25,12,2,Lyngby Vikings,39,13,7,3,0,2,1,1
South,134,1,1,0,The Incas,0,0,0,0,0,16,1,1
Quantum Prodigy,168,2,1,0,Save's,141,2,2,0,0,11,16,0
fnatic,34,4,3,1,00Nation,43,0,1,0,0,12,16,0
SAW,40,7,8,0,Dolej Miodu,0,4,2,0,0,16,12,1
Sinners,20,5,5,0,Eternal Fire,95,4,1,0,0,16,2,1
INDE IRAE,85,6,3,0,Akuma,33,7,6,0,0,9,16,0
HEADSH0T,0,0,0,0,Nemiga,45,6,5,0,0,19,17,1
PACT,74,9,9,0,QUAZAR,0,0,0,0,0,16,1,1
Lyngby Vikings,39,13,7,0,00Nation,43,0,1,0,0,0,1,0
Copenhagen Flames,30,19,10,0,fnatic,34,4,2,0,0,16,10,1
CatEvil,174,2,2,0,stinky big,0,0,0,0,0,0,1,0
Liquid,16,3,3,4,TeamOne,44,0,9,0,0,2,0,1
1WIN,36,15,7,0,K23,25,10,8,0,0,1,2,0
Paradox,113,7,4,3,Rooster,187,3,5,4,0,5,16,0
fnatic,34,3,2,0,00Nation,43,0,0,0,0,16,9,1
Copenhagen Flames,30,18,10,4,Lyngby Vikings,39,13,6,2,0,16,10,1
Eros,111,1,2,0,Levitate,256,0,1,0,0,2,1,1
Ceará,277,3,2,0,Isurus,138,12,8,0,0,1,2,0
ATK,161,1,0,0,Northern Forces,213,0,0,0,0,2,1,1
Havan Liberty,75,12,5,3,Sharks,61,11,6,7,0,2,0,1
Bravos,48,29,10,16,Paquetá,65,23,9,16,7,0,2,0
Ceará,277,2,2,0,Meta BR,0,2,0,0,0,16,8,1
Isurus,138,11,8,0,Leviatan,159,11,4,1,1,16,10,1
Movistar Riders,66,12,8,0,cowana,70,2,0,0,0,2,0,1
Gambit,2,8,3,4,FURIA,15,5,4,2,0,2,0,1
Wisla Krakow,63,11,7,0,Copenhagen Flames,30,17,10,2,0,0,2,0
777,51,8,8,5,HAVU,35,7,8,3,0,16,19,0
Liquid,16,2,3,0,Entropiq,18,13,8,0,0,2,0,1
FunPlus Phoenix,28,2,2,0,AGO,23,16,10,0,0,0,2,0
Lyngby Vikings,39,12,6,1,Fiend,29,11,9,4,0,2,1,1
ENCE,19,10,7,5,HAVU,35,6,8,6,2,8,16,0
Fiend,29,11,8,0,GamerLegion,47,13,10,0,0,1,2,0
