t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Ceará,183,5,7,0,INTZ,122,11,15,0,0,2,0,1
paiN,42,12,2,6,Extra Salt,25,17,3,20,3,1,2,0
Triumph,63,19,12,0,Touch Point,206,1,2,0,0,13,16,0
Now you know,0,0,0,0,Bad News Bears,43,14,11,0,0,13,16,0
Coscu Army,198,9,10,0,PAMPAS,249,0,0,1,0,16,10,1
OG,9,7,4,5,FaZe,6,11,6,8,2,1,2,0
Northern Forces,224,0,1,0,Uptime United,0,0,0,0,0,16,11,1
Eclipse Reborn,0,0,0,0,Party Astronauts,48,23,11,0,0,13,16,0
AlHilal,0,1,0,2,AlNasser,0,0,1,1,0,2,1,1
Trasko,55,15,7,0,4glory,171,7,6,0,0,2,1,1
Bravado,221,3,2,2,Sinister5,256,2,1,1,0,2,1,1
NASR,145,3,6,0,Fantastic Seven,320,0,2,0,0,0,2,0
EC Kyiv,137,7,14,0,BLUEJAYS,80,6,6,0,0,2,0,1
K23,28,13,10,0,ECLOT,149,3,3,0,0,1,0,1
Bravos,51,37,14,5,Sharks,73,14,9,7,2,0,2,0
Natus Vincere,1,19,3,1,Complexity,16,9,6,4,0,2,1,1
1WIN,32,21,9,0,AURA,72,8,3,0,0,2,1,1
BLINK,52,11,5,0,eSuba,136,2,5,0,0,2,0,1
Lyngby Vikings,41,22,12,2,Copenhagen Flames,24,30,12,5,0,2,0,1
EC Kyiv,137,6,14,1,B8,123,3,8,2,1,2,0,1
BLUEJAYS,80,6,5,0,AGO,27,24,12,0,0,1,2,0
Renegades,23,9,4,32,ORDER,95,10,2,10,7,2,0,1
Eros,116,4,9,4,Coldest Riders,92,9,11,1,1,2,1,1
Ceará,183,5,6,0,Havan Liberty,68,22,8,0,0,0,2,0
paiN,42,11,2,2,Big Chillin,160,3,7,0,0,2,0,1
Bravos,51,37,13,0,Stone,259,2,8,0,0,15,19,0
Extra Salt,25,16,3,3,Triumph,63,19,11,2,0,2,0,1
Leviatan,134,16,10,0,Wygers AR,317,0,5,0,0,16,2,1
Santos,207,5,9,0,9z Academy,267,1,3,0,0,19,16,1
Enterprise,77,10,10,2,Budapest Five,131,5,6,0,0,3,2,1
Bad News Bears,43,14,10,8,TeamOne,69,2,12,0,0,0,2,0
FaZe,6,11,5,3,Complexity,16,8,6,4,1,0,2,0
Bravado,221,3,1,6,DNMK,325,0,2,1,0,1,2,0
9z,65,27,4,7,Bravos,51,37,13,7,2,1,0,1
SAW,58,12,14,1,Sangal,70,7,5,2,0,0,2,0
Natus Vincere,1,18,3,7,OG,9,7,3,6,0,2,1,1
Sharks,73,13,9,6,Paquetá,59,28,16,6,0,2,0,1
Sinister5,256,1,1,0,Goliath,0,0,0,0,0,2,1,1
00Nation,44,4,4,0,Copenhagen Flames,24,29,12,2,1,1,2,0
Sestri,0,1,0,0,Akuma,47,12,10,0,0,0,2,0
ECLOT,149,2,3,0,SSP,0,1,1,0,0,2,0,1
Paradox,147,8,6,1,ORDER,95,9,2,8,1,1,2,0
Lyngby Vikings,41,21,12,0,K23,28,13,9,2,0,2,0,1
ChocoCheck,129,4,4,2,Mythic,86,8,8,3,0,2,1,1
Third Impact,127,7,19,0,Verum,94,7,3,0,0,0,2,0
Party Astronauts,48,22,11,0,Big Chillin,160,3,6,0,0,2,0,1
Triumph,63,18,11,2,RBG,64,16,14,2,0,2,1,1
TeamOne,69,1,12,2,Mythic,86,8,7,1,0,2,0,1
OFFSET,126,4,8,0,AURA,72,7,3,0,0,1,2,0
Galaxy Racer,57,10,10,4,Young Ninjas,40,28,19,5,0,1,2,0
INTZ,122,11,14,2,Bravos,51,36,13,0,1,0,2,0
paiN,42,10,2,5,Bad News Bears,43,14,9,5,1,2,1,1
Finest,88,9,7,0,PACT,71,12,13,0,0,2,1,1
MAD Lions,39,20,4,0,EC Kyiv,137,6,13,0,0,2,1,1
